Период: 01.01.2026-20.03.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
35599387-0170-2;10.02.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;04.02.2026;;;0%;;;-50,00 ?
35599387-0170-2;10.02.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;35%;;;-10,00 ?
35599387-0170-2;10.02.2026;Услуги доставки;Логистика;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;35%;;;-99,64 ?
35599387-0170-2;10.02.2026;Продажи;Выручка;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;0%;;;1 889,73 ?
35599387-0170-2;10.02.2026;Продажи;Программы партнёров;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;0%;;;18,90 ?
35599387-0170-2;10.02.2026;Продажи;Баллы за скидки;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;0%;;;833,37
35599387-0170-2;10.02.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;35%;;;-959,70 ?
35599387-0170-2;10.02.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;35%;;;-20,00 ?
35599387-0170-2;10.02.2026;Услуги партнёров;Доставка до места выдачи;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ?;04.02.2026;Ozon;FBS;35%;;;-14,53 ?
0105894418-0244;15.02.2026;Услуги партнёров;Эквайринг;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;0,00 ?;15.02.2026;;;0%;;;-39,28 ?
58015673-1820-1;17.02.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;06.02.2026;;;0%;;;-100,00 ?
58015673-1820-1;17.02.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;35%;;;-10,00 ?
58015673-1820-1;17.02.2026;Услуги доставки;Логистика;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;35%;;;-99,64 ?
