Дата начисления;Группа услуг;Тип начисления;Артикул;Название товара;Количество;Цена продавца;Вознаграждение Ozon, %;Сумма итого, руб.
15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;35%;-10,00 ₽
15.01.2026;Услуги доставки;Логистика;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;35%;-141,33 ₽
15.01.2026;Продажи;Выручка;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;0%;2 072,38 ₽
15.01.2026;Продажи;Программы партнёров;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;0%;20,72 ₽
15.01.2026;Продажи;Баллы за скидки;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;0%;1 181,90
15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;35%;-1 146,25 ₽
15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;35%;-20,00 ₽
15.01.2026;Услуги партнёров;Доставка до места выдачи;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ₽;35%;-12,67 ₽
15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-10,00 ₽
15.01.2026;Услуги доставки;Логистика;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-117,94 ₽
15.01.2026;Продажи;Выручка;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;794,48 ₽
15.01.2026;Продажи;Программы партнёров;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;7,94 ₽
15.01.2026;Продажи;Баллы за скидки;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;567,58
15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-479,50 ₽
15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-20,00 ₽
15.01.2026;Услуги партнёров;Доставка до места выдачи;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-10,12 ₽
15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-50,00 ₽
16.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
16.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;35%;-10,00 ₽
16.01.2026;Услуги доставки;Логистика;DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;35%;-99,64 ₽
